ProductID,Date,Zip,Units,Revenue,Country
2235,1/15/1999,8650,1,65.57,Mexico
837,2/15/1999,8650,1,839.95,Mexico
491,2/15/1999,8650,1,815.33,Mexico
426,5/31/2002,8650,1,843.15,Mexico
400,06/06/2002,8650,1,734.74,Mexico
1131,2/15/1999,8650,1,419.95,Mexico
2277,3/15/1999,8650,1,251.95,Mexico
491,3/15/1999,8650,1,815.33,Mexico
467,06/08/2002,8650,1,900.64,Mexico
565,04/12/2003,2000,1,890.66,Mexico
604,04/12/2003,2000,1,494.81,Mexico
940,3/15/1999,2000,1,687.7,Mexico
2277,1/15/1999,8640,1,251.95,Mexico
739,1/15/1999,2008,1,170.57,Mexico
2188,1/15/1999,2008,1,233.57,Mexico
1894,1/15/1999,2008,1,682.24,Mexico
757,04/11/2003,2008,1,73.45,Mexico
758,04/11/2003,2008,1,73.45,Mexico
2373,3/15/1999,2008,1,551.2,Mexico
606,1/15/1999,8830,1,314.74,Mexico
2082,04/10/2003,8830,1,335.95,Mexico
2284,2/15/1999,8830,1,293.95,Mexico
2055,06/03/2002,2009,1,569.57,Mexico
396,3/15/1999,2009,1,857.06,Mexico
658,1/15/1999,9130,1,902.74,Mexico
992,04/11/2003,9130,1,278.2,Mexico
2282,1/15/1999,9130,1,304.45,Mexico
2255,5/31/2002,9130,1,60.32,Mexico
1182,2/15/1999,9130,1,157.45,Mexico
2056,2/15/1999,9130,1,325.45,Mexico
2254,5/31/2002,9130,1,60.32,Mexico
671,06/03/2002,9130,1,892.24,Mexico
687,1/15/1999,9160,1,445.99,Mexico
599,2/15/1999,9160,1,753.64,Mexico
1927,5/31/2002,9160,1,99.7,Mexico
1926,5/31/2002,9160,1,99.7,Mexico
2074,5/31/2002,9160,1,335.95,Mexico
683,3/15/1999,2020,1,788.03,Mexico
713,1/15/1999,7708,1,160.07,Mexico
1116,2/15/1999,7708,1,251.95,Mexico
725,1/15/1999,9410,1,115.45,Mexico
2388,2/15/1999,9410,1,309.7,Mexico
2045,2/15/1999,9410,1,409.45,Mexico
2234,2/15/1999,9410,1,65.57,Mexico
726,1/15/1999,9410,1,115.45,Mexico
758,1/15/1999,9410,1,83.95,Mexico
767,1/15/1999,9410,1,104.95,Mexico
2235,2/15/1999,9410,1,65.57,Mexico
726,1/15/1999,8730,1,115.45,Mexico
728,2/15/1999,8730,1,62.95,Mexico
725,1/15/1999,8730,1,115.45,Mexico
727,2/15/1999,8730,1,62.95,Mexico
433,1/15/1999,2060,1,804.3,Mexico
728,1/15/1999,8010,1,62.95,Mexico
1990,2/15/1999,8010,1,257.2,Mexico
727,1/15/1999,8010,1,62.95,Mexico
1116,1/15/1999,8010,1,251.95,Mexico
2083,3/15/1999,8010,1,309.7,Mexico
981,1/15/1999,2070,1,157.45,Mexico
2235,1/15/1999,2070,1,65.57,Mexico
740,1/15/1999,7740,1,170.57,Mexico
739,1/15/1999,7740,1,170.57,Mexico
2211,1/15/1999,7740,1,107.57,Mexico
2234,1/15/1999,7740,1,65.57,Mexico
609,2/15/1999,7740,1,778.84,Mexico
2284,3/15/1999,7740,1,293.95,Mexico
